director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title
Mel Gibson,Mhairi Calvey,Patrick McGoohan,James Robinson,Biography Drama History War,braveheart
Sam Mendes,Jake Gyllenhaal,Brian Geraghty,James Morrison,Action Drama War,jarhead
David Silverman,Albert Brooks,Yeardley Smith,Marcia Wallace,Adventure Animation Comedy,the simpsons movie
Frank Darabont,Martin Landau,Hal Holbrook,Jeffrey DeMunn,Drama Romance,the majestic
Renny Harlin,Sylvester Stallone,Estella Warren,Cristián de la Fuente,Action Drama Sport,driven
Jean-Jacques Annaud,David Gant,Jean-Claude Dreyfus,Oanh Nguyen,Adventure Drama Family,two brothers
M. Night Shyamalan,Bryce Dallas Howard,Judy Greer,William Hurt,Drama Mystery Romance Thriller,the village
Betty Thomas,Oliver Platt,Raven-Symoné,Peter Boyle,Comedy Family Fantasy,doctor dolittle
M. Night Shyamalan,Rory Culkin,Merritt Wever,Cherry Jones,Drama Sci-Fi Thriller,signs
Andrew Adamson,Rupert Everett,Jennifer Saunders,Conrad Vernon,Adventure Animation Comedy Family Fantasy Romance,shrek 2
John Lasseter,John Ratzenberger,Cheech Marin,George Carlin,Adventure Animation Comedy Family Sport,cars
Garry Marshall,Julia Roberts,Christopher Meloni,Hector Elizondo,Comedy Romance,runaway bride
Rob Cohen,Vin Diesel,Eve,Leila Arcieri,Action Adventure Thriller,xxx
Paul Tibbitt,Tim Conway,Billy West,Eddie Deezen,Adventure Animation Comedy Family Fantasy,the spongebob movie: sponge out of water
Ron Howard,Lili Taylor,Delroy Lindo,Rene Russo,Crime Thriller,ransom
Quentin Tarantino,Michael Fassbender,Brad Pitt,Christoph Waltz,Adventure Drama War,inglourious basterds
Steven Spielberg,Robin Williams,Julia Roberts,Bob Hoskins,Adventure Comedy Family Fantasy,hook
Brett Ratner,Dwayne Johnson,Rufus Sewell,Ingrid Bolsø Berdal,Action Adventure,hercules
Renny Harlin,Bruce Willis,John Amos,Franco Nero,Action Thriller,die hard 2
Clark Johnson,Jeremy Renner,Josh Charles,LL Cool J,Action Adventure Crime Thriller,s.w.a.t.
unknown,Nicole Beharie,Katia Winter,Lyndie Greenwood,Adventure Drama Fantasy Mystery Thriller,sleepy hollow            
Cameron Crowe,Tom Cruise,Ivana Milicevic,Noah Taylor,Fantasy Mystery Romance Sci-Fi Thriller,vanilla sky
M. Night Shyamalan,Bryce Dallas Howard,Freddy Rodríguez,Bob Balaban,Drama Fantasy Mystery Thriller,lady in the water
Paul W.S. Anderson,Sanaa Lathan,Colin Salmon,Raoul Bova,Action Horror Sci-Fi Thriller,avp: alien vs. predator
Betty Thomas,Amy Poehler,Bridgit Mendler,Jesse McCartney,Animation Comedy Family Fantasy Music,alvin and the chipmunks: the squeakquel
Randall Wallace,Jon Hamm,Marc Blucas,Chris Klein,Action Drama History War,we were soldiers
Antoine Fuqua,Gerard Butler,Morgan Freeman,Radha Mitchell,Action Thriller,olympus has fallen
Jonathan Frakes,LeVar Burton,Jonathan Frakes,Michael Dorn,Action Adventure Sci-Fi Thriller,star trek: insurrection
Jonathan Liebesman,Noel Fisher,Jim Parrack,Ramon Rodriguez,Action Sci-Fi,battle los angeles
Tim Burton,Steve Buscemi,Alison Lohman,Albert Finney,Adventure Drama Fantasy,big fish
Mike Nichols,David Hyde Pierce,Peter Gerety,Ron Rifkin,Drama Horror Romance Thriller,wolf
Steven Spielberg,Jeremy Irvine,Benedict Cumberbatch,Eddie Marsan,Drama War,war horse
George Clooney,Bill Murray,Matt Damon,Bob Balaban,Drama War,the monuments men
James Cameron,Michael Biehn,Todd Graff,Mary Elizabeth Mastrantonio,Adventure Drama Sci-Fi Thriller,the abyss
Oliver Stone,Frank Langella,Austin Pendleton,John Buffalo Mailer,Drama,wall street: money never sleeps
Gary Shore,Dominic Cooper,Sarah Gadon,Zach McGowan,Action Drama Fantasy Horror War,dracula untold
Edward Zwick,Denzel Washington,Bruce Willis,Mark Valley,Action Thriller,the siege
Matthew Vaughn,Henry Cavill,David Kelly,Nathaniel Parker,Adventure Family Fantasy Romance,stardust
Jean-Jacques Annaud,Brad Pitt,Mako,Victor Wong,Adventure Biography Drama History War,seven years in tibet
Ron Howard,Channing Tatum,Clint Howard,Chelcie Ross,Comedy Drama,the dilemma
Joel Schumacher,Anthony Hopkins,Brooke Smith,Garcelle Beauvais,Action Adventure Comedy Thriller,bad company
Andrzej Bartkowiak,Dwayne Johnson,Ben Daniels,Dexter Fletcher,Action Adventure Horror Sci-Fi,doom
Betty Thomas,Gary Cole,Phill Lewis,Tate Taylor,Action Adventure Comedy Thriller,i spy
Måns Mårlind,Theo James,Stephen Rea,Sandrine Holt,Action Fantasy Horror,underworld: awakening
Adam Shankman,James Martin Kelly,Shane Hartline,Celina Beach,Comedy Drama Musical Romance,rock of ages
Gregory Hoblit,Bruce Willis,Cole Hauser,Rory Cochrane,Drama War,hart's war
Gary McKendry,Jason Statham,Robert De Niro,Ben Mendelsohn,Action Crime Thriller,killer elite
John McTiernan,LL Cool J,Chris Klein,Andrew Bryniarski,Action Sci-Fi Sport,rollerball
Wych Kaosayananda,Talisa Soto,Sandrine Holt,Gregg Henry,Action Crime Sci-Fi Thriller,ballistic: ecks vs. sever
Mikael Salomon,Morgan Freeman,Minnie Driver,Randy Quaid,Action Crime Drama Thriller,hard rain
Bobby Farrelly,Ron Howard,Brandy Norwood,David Hyde Pierce,Action Adventure Animation Comedy Crime Family Fantasy,osmosis jones
Will Finn,Lea Michele,Oliver Platt,Jim Belushi,Adventure Animation Family Fantasy Musical,legends of oz: dorothy's return
Michael Mann,Chris Hemsworth,Archie Kao,Brandon Molale,Action Crime Drama Mystery Thriller,blackhat
Kerry Conran,Angelina Jolie Pitt,Laurence Olivier,Bai Ling,Action Adventure Mystery Sci-Fi Thriller,sky captain and the world of tomorrow
Michael Caton-Jones,Charlotte Rampling,Indira Varma,Neil Maskell,Crime Mystery Thriller,basic instinct 2
Mikael Håfström,Sylvester Stallone,50 Cent,Matt Gerald,Action Crime Mystery Sci-Fi Thriller,escape plan
Renny Harlin,Roxanne McKee,Luke Newberry,Gaia Weiss,Action Adventure Fantasy,the legend of hercules
Phil Alden Robinson,Morgan Freeman,Bruce McGill,Philip Baker Hall,Action Drama Thriller,the sum of all fears
David Slade,Robert Pattinson,Kristen Stewart,Anna Kendrick,Adventure Drama Fantasy Romance,the twilight saga: eclipse
Frank Oz,Robert De Niro,Marlon Brando,Gary Farmer,Crime Drama Thriller,the score
Pierre Coffin,Steve Carell,Miranda Cosgrove,Jack McBrayer,Animation Comedy Family,despicable me
Joseph Ruben,Vincent Pastore,Robert Blake,Aida Turturro,Action Comedy Crime Drama Thriller,money train
Seth MacFarlane,Liam Neeson,Morgan Freeman,Seth MacFarlane,Comedy,ted 2
Alejandro Amenábar,Max Minghella,Ashraf Barhom,Rupert Evans,Adventure Drama History Romance,agora
Kinka Usher,Janeane Garofalo,Wes Studi,Eddie Izzard,Action Comedy Fantasy Sci-Fi,mystery men
Bobby Farrelly,Jenna Fischer,Larry Joe Campbell,Stephen Merchant,Comedy Romance,hall pass
Michael Mann,Al Pacino,Rip Torn,Debi Mazar,Biography Drama Thriller,the insider
Craig Gillespie,Michael Raymond-James,Abraham Benrubi,Graham McTavish,Action Drama History Thriller,the finest hours
Ridley Scott,Leonardo DiCaprio,Simon McBurney,Michael Gaston,Action Drama Thriller,body of lies
Jay Roach,Steve Carell,Stephanie Szostak,Bruce Greenwood,Comedy,dinner for schmucks
Timur Bekmambetov,Rufus Sewell,Dominic Cooper,Benjamin Walker,Action Fantasy Horror,abraham lincoln: vampire hunter
Jon Amiel,Will Patton,Kevin McNally,Maury Chaykin,Action Crime Romance Thriller,entrapment
unknown,Hector Elizondo,Kaitlyn Dever,Nancy Travis,Comedy,last man standing            
Rob Bowman,Martin Landau,Mitch Pileggi,Jeffrey DeMunn,Drama Mystery Sci-Fi Thriller,the x files
Doug Lefler,Colin Firth,Nonso Anozie,Owen Teale,Action Adventure Fantasy War,the last legion
Steven Spielberg,Tom Hanks,Vin Diesel,Matt Damon,Action Drama War,saving private ryan
Scott Waugh,Rami Malek,Dominic Cooper,Ramon Rodriguez,Action Crime Drama Thriller,need for speed
Nancy Meyers,Judy Greer,Lisa Edelstein,Loretta Devine,Comedy Fantasy Romance,what women want
Chris Wedge,Goran Visnjic,Stephen Root,Denis Leary,Adventure Animation Comedy Family,ice age
Lawrence Kasdan,Morgan Freeman,Michael O'Neill,Reece Thompson,Drama Horror Sci-Fi Thriller,dreamcatcher
Steven Spielberg,Joseph Gordon-Levitt,Hal Holbrook,Bruce McGill,Biography Drama History War,lincoln
Lana Wachowski,Keanu Reeves,Marcus Chong,Gloria Foster,Action Sci-Fi,the matrix
Ron Howard,Tom Hanks,Miko Hughes,Kathleen Quinlan,Adventure Drama History,apollo 13
Paul Verhoeven,Ronny Cox,Rachel Ticotin,Marshall Bell,Action Sci-Fi,total recall
Michael Lembeck,Judge Reinhold,Aisha Tyler,Eric Lloyd,Comedy Family Fantasy,the santa clause 2
Tom Hooper,Hugh Jackman,Eddie Redmayne,Anne Hathaway,Drama Musical Romance,les misérables
Nora Ephron,Tom Hanks,Jean Stapleton,Dave Chappelle,Comedy Drama Romance,you've got mail
Adam McKay,Will Ferrell,Adam Scott,Andrea Savage,Comedy,step brothers
Martin Campbell,Anthony Hopkins,Tony Amendola,Stuart Wilson,Action Adventure Comedy Romance Thriller Western,the mask of zorro
Todd Phillips,Robert Downey Jr.,RZA,Matt Walsh,Comedy Drama,due date
Angelina Jolie Pitt,Finn Wittrock,Jack O'Connell,Alex Russell,Biography Drama Sport War,unbroken
Clint Eastwood,Clint Eastwood,Courtney B. Vance,William Devane,Action Adventure Thriller,space cowboys
Renny Harlin,Sylvester Stallone,Leon,Janine Turner,Action Adventure Thriller,cliffhanger
John Woo,Delroy Lindo,Samantha Mathis,Bob Gunton,Action Crime Thriller,broken arrow
Jon Turteltaub,Bruce Willis,Lily Tomlin,Daniel von Bargen,Comedy Family Fantasy,the kid
Oliver Stone,Nicolas Cage,Jay Hernandez,Armando Riesco,Drama History Thriller,world trade center
Mike Newell,Julia Roberts,Kirsten Dunst,Marian Seldes,Drama,mona lisa smile
Larry Charles,Sayed Badreya,Aasif Mandvi,Horatio Sanz,Comedy Romance,the dictator
Stanley Kubrick,Tom Cruise,Vinessa Shaw,Sydney Pollack,Drama Mystery Thriller,eyes wide shut
Will Gluck,Quvenzhané Wallis,Dorian Missick,David Zayas,Comedy Drama Family Musical,annie
Glenn Ficarra,Will Smith,Adrian Martinez,Gerald McRaney,Comedy Crime Drama Romance,focus
McG,Tom Hardy,Abigail Spencer,Warren Christie,Action Comedy Romance,this means war
David S. Goyer,Ryan Reynolds,Natasha Lyonne,John Michael Higgins,Action Adventure Fantasy Horror Sci-Fi Thriller,blade: trinity
John Milius,Lea Thompson,Jennifer Grey,William Smith,Action Drama War,red dawn
Mike Nichols,Maura Tierney,Adrian Lester,Paul Guilfoyle,Comedy Drama,primary colors
Paul W.S. Anderson,Milla Jovovich,Boris Kodjoe,Bingbing Li,Action Horror Sci-Fi Thriller,resident evil: retribution
Paul W.S. Anderson,Jason Statham,Max Ryan,Joan Allen,Action Sci-Fi Thriller,death race
Renny Harlin,Melina Kanakaredes,Craig Bierko,Yvonne Zima,Action Crime Drama Mystery Thriller,the long kiss goodnight
Taylor Hackford,Pamela Reed,Alun Armstrong,Michael Kitchen,Action Drama Thriller,proof of life
Jon Favreau,Kristen Stewart,Josh Hutcherson,Jonah Bobo,Action Adventure Comedy Family Fantasy Sci-Fi,zathura: a space adventure
David Fincher,Brad Pitt,Meat Loaf,Eugenie Bondurant,Drama,fight club
McG,Matthew McConaughey,Kimberly Williams-Paisley,Brian Geraghty,Drama Sport,we are marshall
unknown,Jason Flemyng,James Nesbitt,Frances O'Connor,Crime Drama Mystery,the missing            
Michael Lehmann,Bruce Willis,James Coburn,Richard E. Grant,Action Adventure Comedy,hudson hawk
Nora Ephron,Michael Rapaport,Michael Moore,Richard Schiff,Comedy Crime,lucky numbers
Stuart Beattie,Caitlin Stasey,Kevin Grevioux,Miranda Otto,Action Fantasy Sci-Fi Thriller,"i, frankenstein"
Roman Polanski,Ian McNeice,Barney Clark,Tony Noble,Crime Drama,oliver twist
Rob Bowman,Jennifer Garner,Cary-Hiroyuki Tagawa,Goran Visnjic,Action Crime Fantasy Thriller,elektra
Frank Miller,Joseph Gordon-Levitt,Bruce Willis,Eva Green,Action Crime Thriller,sin city: a dame to kill for
Sydney Pollack,Harrison Ford,Kristin Scott Thomas,Bill Cobbs,Drama Mystery Romance,random hearts
Baltasar Kormákur,Michael Kelly,Martin Henderson,Tom Goodman-Hill,Adventure Biography Drama History Sport Thriller,everest
Tom Tykwer,Michael Smiley,David Calder,Simon Chandler,Crime Drama Fantasy,perfume: the story of a murderer
Jay Roach,Verne Troyer,Josh Zuckerman,Robert Wagner,Action Comedy Crime,austin powers in goldmember
David Bowers,Nicolas Cage,Charlize Theron,Dee Bradley Baker,Action Animation Comedy Family Sci-Fi,astro boy
Steven Spielberg,Wayne Knight,Ariana Richards,Bob Peck,Adventure Sci-Fi Thriller,jurassic park
Lawrence Kasdan,Dennis Quaid,Catherine O'Hara,Isabella Rossellini,Adventure Biography Crime Drama Western,wyatt earp
Phillip Noyce,Harrison Ford,Dean Jones,Raymond Cruz,Action Crime Drama Thriller,clear and present danger
Daniel Lee,Si Won Choi,Peng Lin,Sung-jun Yoo,Action Adventure Drama History,dragon blade
Keenen Ivory Wayans,Chazz Palminteri,Brittany Daniel,John Witherspoon,Comedy Crime,littleman
Jonathan Mostow,Matthew McConaughey,Thomas Kretschmann,David Keith,Action War,u-571
Rob Reiner,Shawna Waldron,Samantha Mathis,Wendie Malick,Comedy Drama Romance,the american president
Marco Schnabel,Justin Timberlake,Romany Malco,Verne Troyer,Comedy Romance Sport,the love guru
Demian Lichtenstein,Jon Lovitz,Bokeem Woodbine,Ice-T,Action Comedy Crime Thriller,3000 miles to graceland
Quentin Tarantino,Craig Stark,Jennifer Jason Leigh,Zoë Bell,Crime Drama Mystery Thriller Western,the hateful eight
Josh Gordon,Will Ferrell,Amy Poehler,Jon Heder,Comedy Sport,blades of glory
Tim Hill,Gary Cole,Elizabeth Perkins,Chelsea Handler,Adventure Animation Comedy Family Fantasy,hop
Zack Snyder,Gerard Butler,Michael Fassbender,Vincent Regan,Action Drama Fantasy War,300
Jay Roach,Robert De Niro,Blythe Danner,Teri Polo,Comedy Romance,meet the fockers
David Frankel,Eric Dane,Kathleen Turner,Haley Bennett,Comedy Drama Family,marley & me
Frank Darabont,Tom Hanks,Jeffrey DeMunn,Michael Jeter,Crime Drama Fantasy Mystery,the green mile
Walt Becker,Jill Hennessy,Tichina Arnold,Drew Sidora,Action Adventure Comedy,wild hogs
Mark Dindal,Catherine O'Hara,Fred Willard,Amy Sedaris,Adventure Animation Comedy Family Sci-Fi,chicken little
David Fincher,Patrick Fugit,Sela Ward,Emily Ratajkowski,Crime Drama Mystery Thriller,gone girl
Doug Liman,Matt Damon,Josh Hamilton,Nicky Naudé,Action Mystery Thriller,the bourne identity
Martin Campbell,Izabella Scorupco,Joe Don Baker,Tchéky Karyo,Action Adventure Thriller,goldeneye
Simon West,Daniel von Bargen,Timothy Hutton,Clarence Williams III,Drama Mystery Thriller,the general's daughter
Peter Weir,Natascha McElhone,Noah Emmerich,Peter Krause,Comedy Drama Sci-Fi,the truman show
Brenda Chapman,Martin Short,Aria Noelle Curzon,Eden Riegel,Adventure Animation Biography Drama Family Fantasy Musical,the prince of egypt
Steve Carr,Anjelica Huston,Lisa Edelstein,Jeff Garlin,Comedy Family,daddy day care
Baltasar Kormákur,Denzel Washington,Patrick Fischler,Fred Ward,Action Comedy Crime Drama Thriller,2 guns
Lawrence Guterman,Carol Ann Susi,Elizabeth Perkins,Miriam Margolyes,Action Comedy Family Fantasy,cats & dogs
F. Gary Gray,Jason Statham,Charlize Theron,Jimmy Shubert,Action Crime Thriller,the italian job
Marc Lawrence,Dorian Missick,Alicia Witt,Dana Ivey,Comedy Romance,two weeks notice
Eric Darnell,Sylvester Stallone,Woody Allen,Anne Bancroft,Adventure Animation Comedy Family,antz
Peter Billingsley,Jon Favreau,Kristin Davis,Tasha Smith,Comedy,couples retreat
Tony Scott,Tom Cruise,Robert Duvall,Randy Quaid,Action Drama Sport,days of thunder
Adam Shankman,Taylor Lautner,Tom Welling,Alyson Stoner,Adventure Comedy Family,cheaper by the dozen 2
Wes Ball,Ki Hong Lee,Lili Taylor,Rosa Salazar,Action Sci-Fi Thriller,the scorch trials
Ryan Murphy,James Franco,Julia Roberts,Billy Crudup,Drama Romance,eat pray love
Brett Ratner,Nicolas Cage,Don Cheadle,Amber Valletta,Comedy Drama Fantasy Romance,the family man
Robert Schwentke,Bruce Willis,Morgan Freeman,Jaqueline Fleming,Action Comedy Crime Thriller,red
Oliver Stone,Al Pacino,Dennis Quaid,LL Cool J,Drama Sport,any given sunday
Robert Redford,Scarlett Johansson,Kristin Scott Thomas,Jessalyn Gilsig,Drama Romance Western,the horse whisperer
Michael Mann,Tom Cruise,Jada Pinkett Smith,Debi Mazar,Crime Drama Thriller,collateral
Chuck Russell,Dwayne Johnson,Roger Rees,Bernard Hill,Action Adventure Fantasy Thriller,the scorpion king
Jay Russell,Billy Burke,Jay Hernandez,Jacinda Barrett,Action Drama Thriller,ladder 49
Christopher McQuarrie,Tom Cruise,Robert Duvall,David Oyelowo,Action Crime Mystery Thriller,jack reacher
Renny Harlin,LL Cool J,Michael Rapaport,Saffron Burrows,Action Sci-Fi Thriller,deep blue sea
Kenny Ortega,Misha Gabriel Hamilton,Mekia Cox,Judith Hill,Documentary Music,this is it
Steven Soderbergh,Matt Damon,Monique Gabriela Curnen,Griffin Kane,Drama Thriller,contagion
David McNally,Estella Warren,Dyan Cannon,Bill Hunter,Action Adventure Comedy Crime,kangaroo jack
Henry Selick,Jennifer Saunders,Dawn French,John Hodgman,Animation Family Fantasy,coraline
M. Night Shyamalan,Zooey Deschanel,Alan Ruck,Kristen Connolly,Sci-Fi Thriller,the happening
Tony Scott,Denzel Washington,Radha Mitchell,Giancarlo Giannini,Action Crime Drama Thriller,man on fire
Brian Robbins,Robert Downey Jr.,Joel David Moore,Kristin Davis,Comedy Family Fantasy,the shaggy dog
Todd Phillips,Snoop Dogg,Carmen Electra,Fred Williamson,Comedy Crime,starsky & hutch
Brian Levant,Jim Belushi,Harvey Korman,Jake Lloyd,Comedy Family,jingle all the way
Guillermo del Toro,James Babson,Rupert Evans,Brian Steele,Action Fantasy Horror Sci-Fi,hellboy
Steven Zaillian,Robert Duvall,Kathleen Quinlan,Sydney Pollack,Drama,a civil action
Chris Butler,Anna Kendrick,Kodi Smit-McPhee,Elaine Stritch,Adventure Animation Comedy Family Fantasy,paranorman
Michael Caton-Jones,J.K. Simmons,Bruce Willis,Sophie Okonedo,Action Adventure Crime Thriller,the jackal
John Woo,Ivana Milicevic,Joe Morton,Callum Rennie,Action Mystery Sci-Fi Thriller,paycheck
Jon Avnet,Joe Mantegna,Stockard Channing,Raymond Cruz,Drama Romance,up close & personal
Sam Fell,Emma Watson,Matthew Broderick,Frank Langella,Adventure Animation Comedy Family Fantasy,the tale of despereaux
unknown,Bianca Kajlich,Oliver Hudson,Adhir Kalyan,Comedy Romance,rules of engagement            
Kevin Donovan,Romany Malco,Debi Mazar,Ritchie Coster,Action Comedy Sci-Fi,the tuxedo
Geoff Murphy,Peter Greene,Brenda Bakke,Patrick Kilpatrick,Action Thriller,under siege 2: dark territory
Kenneth Branagh,Colm Feore,Nonso Anozie,Gemma Chan,Action Drama Thriller,jack ryan: shadow recruit
David O. Russell,Jennifer Lawrence,Robert De Niro,Bradley Cooper,Biography Comedy Drama,joy
Babak Najafi,Gerard Butler,Radha Mitchell,Julian Kostov,Action Crime Drama Thriller,london has fallen
Jean-Pierre Jeunet,Gary Dourdan,Michael Wincott,Raymond Cruz,Action Horror Sci-Fi,alien: resurrection
Antoine Fuqua,Tate Donovan,Ned Beatty,Louis Ferreira,Action Crime Drama Mystery Thriller,shooter
Graham Annable,Isaac Hempstead Wright,Dee Bradley Baker,Tracy Morgan,Adventure Animation Comedy Family Fantasy,the boxtrolls
Griffin Dunne,Goran Visnjic,Dianne Wiest,Stockard Channing,Comedy Drama Fantasy Romance,practical magic
Phil Lord,Morgan Freeman,Will Ferrell,Alison Brie,Action Adventure Animation Comedy Family Fantasy,the lego movie
John Pasquin,Eileen Brennan,Diedrich Bader,Treat Williams,Action Comedy Crime,miss congeniality 2: armed and fabulous
Rob Bowman,Christian Bale,Gerard Butler,Matthew McConaughey,Action Adventure Fantasy Sci-Fi Thriller,reign of fire
Ruben Fleischer,Ryan Gosling,Brandon Molale,Wade Williams,Action Crime Drama Thriller,gangster squad
Harold Ramis,Olivia Wilde,Oliver Platt,Xander Berkeley,Adventure Comedy,year one
Clint Eastwood,Matt Damon,Morgan Freeman,Leleti Khumalo,Biography Drama History Sport,invictus
Kevin Macdonald,Robin Wright,Harry Lennix,Michael Weston,Crime Drama Mystery Thriller,state of play
Tony Gilroy,Julia Roberts,Tom Wilkinson,Denis O'Hare,Comedy Crime Romance Thriller,duplicity
Donald Petrie,Steven Anthony Lawrence,Ray Walston,Michael Lerner,Comedy Family Sci-Fi,my favorite martian
Clark Johnson,Blair Brown,David Rasche,Martin Donovan,Action Crime Thriller,the sentinel
Jorge Blanco,Dwayne Johnson,Gary Oldman,James Corden,Adventure Animation Comedy Family Sci-Fi,planet 51
Stuart Baird,Tom Hardy,LeVar Burton,Jonathan Frakes,Action Adventure Sci-Fi Thriller,star trek: nemesis
Joel Coen,Cedric the Entertainer,Paul Adelstein,Julia Duffy,Comedy Crime Romance,intolerable cruelty
Robert Lorenz,Clint Eastwood,Ed Lauter,Bob Gunton,Drama Sport,trouble with the curve
Martin Campbell,Bojana Novakovic,Ray Winstone,Denis O'Hare,Crime Drama Mystery Thriller,edge of darkness
Peter Hyams,John Kapelos,Penelope Ann Miller,Chi Muoi Lo,Horror Mystery Sci-Fi Thriller,the relic
Harold Ramis,Robert De Niro,Cathy Moriarty,Joe Viterelli,Comedy Crime,analyze that
Jon Avnet,Robert De Niro,Al Pacino,50 Cent,Action Crime Drama Mystery Thriller,righteous kill
Harold Becker,Bruce Willis,Miko Hughes,Carrie Preston,Action Crime Drama Thriller,mercury rising
Joe Wright,Robert Downey Jr.,Stephen Root,Rachael Harris,Biography Drama Music,the soloist
Robert Redford,Matt Damon,Will Smith,Charlize Theron,Drama Fantasy Sport,the legend of bagger vance
Cameron Crowe,Philip Seymour Hoffman,Zooey Deschanel,Michael Angarano,Adventure Comedy Drama Music,almost famous
Tim Hill,Bill Murray,Roger Rees,Ben Falcone,Animation Comedy Family Fantasy,garfield 2
Lee Tamahori,Sunny Mabrey,Nona Gaye,Xzibit,Action Adventure Crime Thriller,xxx: state of the union
Scott Stewart,Josh Wingate,Alan Dale,Jacob Hopkins,Action Fantasy Horror Sci-Fi Thriller,priest
Patrick Gilmore,Brad Pitt,Adriano Giannini,Timothy West,Adventure Animation Comedy Drama Family Fantasy Romance,sinbad: legend of the seven seas
Paul W.S. Anderson,Sean Pertwee,Joely Richardson,Kathleen Quinlan,Horror Sci-Fi Thriller,event horizon
Joss Whedon,Chris Hemsworth,Robert Downey Jr.,Scarlett Johansson,Action Adventure Sci-Fi,the avengers
Tom Shadyac,Joe Morton,Susanna Thompson,Matt Craven,Drama Fantasy Mystery Romance Thriller,dragonfly
Brian De Palma,Scarlett Johansson,Mia Kirshner,Mike Starr,Crime Drama Mystery Thriller,the black dahlia
Tony Bill,James Franco,Tyler Labine,Philip Winchester,Action Adventure Drama History Romance War,flyboys
Rod Lurie,Clifton Collins Jr.,Delroy Lindo,Michael Irby,Action Drama Thriller,the last castle
Walter Hill,Robert Forster,Wilson Cruz,Vanessa Marshall,Horror Sci-Fi Thriller,supernova
Akiva Goldsman,Matt Bomer,William Hurt,Kevin Corrigan,Drama Fantasy Mystery Romance,winter's tale
Harald Zwart,Aidan Turner,Kevin Zegers,CCH Pounder,Fantasy Horror Mystery Romance,the mortal instruments: city of bones
Brian Robbins,Marc Blucas,Mike O'Malley,Shawn Christian,Adventure Comedy Family Romance Sci-Fi,meet dave
Walter Salles,Dougray Scott,Camryn Manheim,Ariel Gade,Drama Horror Thriller,dark water
Ron Howard,Matthew McConaughey,Adam Goldberg,Clint Howard,Comedy Drama,edtv
Iain Softley,Brendan Fraser,Stephen Graham,Jamie Foreman,Adventure Family Fantasy,inkheart
Frank Miller,Scarlett Johansson,Jaime King,Louis Lombardi,Action Crime Fantasy Thriller,the spirit
David Koepp,Johnny Depp,Olivia Munn,Ulrich Thomsen,Action Comedy Mystery Romance,mortdecai
Uwe Boll,Jason Statham,Mike Dopud,Tania Saulnier,Action Adventure Fantasy Thriller,in the name of the king: a dungeon siege tale
Martin Campbell,Angelina Jolie Pitt,Teri Polo,Noah Emmerich,Adventure Drama Romance War,beyond borders
Pou-Soi Cheang,Li Gong,Aaron Kwok,Eddie Peng,Action Adventure Fantasy,xi you ji zhi: sun wukong san da baigu jing
John Dahl,James Franco,Clayne Crawford,Paolo Montalban,Action Drama War,the great raid
Tim Miller,Ryan Reynolds,Ed Skrein,Stefan Kapicic,Action Adventure Comedy Romance Sci-Fi,deadpool
Stephen Herek,Kelly Preston,Morgan Fairchild,Eric McCormack,Comedy Drama,holy man
Clint Eastwood,Bradley Cooper,Leonard Roberts,Keir O'Donnell,Action Biography Drama History Thriller War,american sniper
Rob Letterman,Odeya Rush,Dylan Minnette,Ken Marino,Adventure Comedy Family Fantasy Horror,goosebumps
unknown,Nate Richert,Soleil Moon Frye,Caroline Rhea,Comedy Family Fantasy,"sabrina, the teenage witch            "
Mark Waters,Jon Heder,Ivana Milicevic,Willie Garson,Comedy Fantasy Romance,just like heaven
Brian Levant,Taylor Negron,Mark Addy,Danny Woodburn,Comedy Family Romance Sci-Fi,the flintstones in viva rock vegas
Peter MacDonald,Sylvester Stallone,Kurtwood Smith,Richard Crenna,Action Adventure Thriller War,rambo iii
George Clooney,Robert Baker,Malcolm Goodwin,Matt Bushell,Comedy Drama Romance Sport,leatherheads
Frank Coraci,Taylor Lautner,Adam Sandler,Jon Lovitz,Comedy Western,the ridiculous 6
Marc Lawrence,Michael Kelly,Kim Shaw,Kevin Brown,Comedy Drama Romance,did you hear about the morgans?
Shawn Levy,Josh Gad,Jessica Szohr,Rob Riggle,Comedy,the internship
Paul W.S. Anderson,Milla Jovovich,Boris Kodjoe,Shawn Roberts,Action Adventure Horror Sci-Fi,resident evil: afterlife
Anthony Hemingway,David Oyelowo,Nate Parker,Tristan Mack Wilds,Action Adventure Drama History War,red tails
unknown,Chris Noth,Kristin Davis,Cynthia Nixon,Comedy Romance,sex and the city            
Taylor Hackford,Keanu Reeves,Al Pacino,Charlize Theron,Drama Mystery Thriller,the devil's advocate
Sean Anders,Adam Sandler,Leighton Meester,Will Forte,Comedy,that's my boy
Rob Cohen,Dennis Quaid,Brian Thompson,Terry O'Neill,Action Adventure Fantasy,dragonheart
Brett Ratner,Salma Hayek,Don Cheadle,Chris Penn,Action Comedy Crime Drama,after the sunset
Mark Neveldine,Nicolas Cage,Spencer Wilding,Christopher Lambert,Action Fantasy Thriller,ghost rider: spirit of vengeance
John Madden,Christian Bale,Irene Papas,Mihalis Giannatos,Drama Music Romance War,captain corelli's mandolin
unknown,Barry Corbin,Noureen DeWulf,Brian Austin Green,Comedy Romance,anger management            
Adam Shankman,Vin Diesel,Brad Garrett,Tate Donovan,Action Comedy Drama Family Thriller,the pacifier
Kevin Bray,Dwayne Johnson,Ashley Scott,Michael Bowen,Action Crime,walking tall
