director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,comb
Mic Rodgers,Michael Jai White,Daniel von Bargen,Xander Berkeley,Action Sci-Fi,universal soldier: the return,Michael Jai White Daniel von Bargen Xander Berkeley Mic Rodgers Action Sci-Fi
Christian Alvart,Norman Reedus,Dennis Quaid,Eddie Rouse,Action Horror Mystery Sci-Fi Thriller,pandorum,Norman Reedus Dennis Quaid Eddie Rouse Christian Alvart Action Horror Mystery Sci-Fi Thriller
Gary Fleder,Gary Dourdan,Mekhi Phifer,Tim Guinee,Drama Mystery Sci-Fi Thriller,impostor,Gary Dourdan Mekhi Phifer Tim Guinee Gary Fleder Drama Mystery Sci-Fi Thriller
Christian Duguay,Rufus Sewell,Bridgette Wilson-Sampras,Rupert Graves,Action Adventure Thriller,extreme ops,Rufus Sewell Bridgette Wilson-Sampras Rupert Graves Christian Duguay Action Adventure Thriller
Jean-Marie Poiré,Bridgette Wilson-Sampras,Matt Ross,John Aylward,Comedy Fantasy Sci-Fi,just visiting,Bridgette Wilson-Sampras Matt Ross John Aylward Jean-Marie Poiré Comedy Fantasy Sci-Fi
Danny Boyle,Chris Evans,Benedict Wong,Troy Garity,Adventure Sci-Fi Thriller,sunshine,Chris Evans Benedict Wong Troy Garity Danny Boyle Adventure Sci-Fi Thriller
Brian Robbins,John Gatins,Lou Saliba,Greg Collins,Comedy Drama,a thousand words,John Gatins Lou Saliba Greg Collins Brian Robbins Comedy Drama
Marc F. Adler,Eric Idle,Anne Bancroft,Kelly Ripa,Adventure Animation Comedy Fantasy Romance,delgo,Eric Idle Anne Bancroft Kelly Ripa Marc F. Adler Adventure Animation Comedy Fantasy Romance
Pierre Morel,Ray Winstone,Mark Rylance,Jasmine Trinca,Action Crime Drama Mystery Thriller,the gunman,Ray Winstone Mark Rylance Jasmine Trinca Pierre Morel Action Crime Drama Mystery Thriller
Geoffrey Sax,Alex Pettyfer,Sophie Okonedo,Ashley Walters,Action Adventure Family Thriller,alex rider: operation stormbreaker,Alex Pettyfer Sophie Okonedo Ashley Walters Geoffrey Sax Action Adventure Family Thriller
Iain Softley,Angelina Jolie Pitt,Fisher Stevens,Lorraine Bracco,Comedy Crime Drama Thriller,hackers,Angelina Jolie Pitt Fisher Stevens Lorraine Bracco Iain Softley Comedy Crime Drama Thriller
Richard Shepard,James Brolin,Zan Marolt,Ljubomir Kerekes,Adventure Comedy Drama Romance Thriller War,the hunting party,James Brolin Zan Marolt Ljubomir Kerekes Richard Shepard Adventure Comedy Drama Romance Thriller War
Joel Coen,Jennifer Jason Leigh,Bill Cobbs,John Mahoney,Comedy Fantasy,the hudsucker proxy,Jennifer Jason Leigh Bill Cobbs John Mahoney Joel Coen Comedy Fantasy
Peter Ho-Sun Chan,Jet Li,Takeshi Kaneshiro,Andy Lau,Action Drama History Romance War,the warlords,Jet Li Takeshi Kaneshiro Andy Lau Peter Ho-Sun Chan Action Drama History Romance War
Sergey Bodrov,Jay Hernandez,Kuno Becker,Jason Scott Lee,Drama History War,nomad: the warrior,Jay Hernandez Kuno Becker Jason Scott Lee Sergey Bodrov Drama History War
Joon-ho Bong,Chris Evans,Ewen Bremner,Kang-ho Song,Action Drama Sci-Fi Thriller,snowpiercer,Chris Evans Ewen Bremner Kang-ho Song Joon-ho Bong Action Drama Sci-Fi Thriller
Bibo Bergeron,Adam Goldberg,Bob Balaban,François Cluzet,Adventure Animation Comedy Fantasy Music Romance,a monster in paris,Adam Goldberg Bob Balaban François Cluzet Bibo Bergeron Adventure Animation Comedy Fantasy Music Romance
Jeff Nathanson,Matthew Broderick,Glenn Morshower,Tim Blake Nelson,Comedy,the last shot,Matthew Broderick Glenn Morshower Tim Blake Nelson Jeff Nathanson Comedy
Alex Proyas,Michael Wincott,Bai Ling,David Patrick Kelly,Action Drama Fantasy,the crow,Michael Wincott Bai Ling David Patrick Kelly Alex Proyas Action Drama Fantasy
S.S. Rajamouli,Tamannaah Bhatia,Anushka Shetty,Prabhas,Action Adventure Drama Fantasy War,baahubali: the beginning,Tamannaah Bhatia Anushka Shetty Prabhas S.S. Rajamouli Action Adventure Drama Fantasy War
Robert Schwentke,Arliss Howard,Brooklynn Proulx,Michelle Nolden,Drama Fantasy Romance Sci-Fi,the time traveler's wife,Arliss Howard Brooklynn Proulx Michelle Nolden Robert Schwentke Drama Fantasy Romance Sci-Fi
Michael Lehmann,Colin Ferguson,Stephen Collins,Tom Everett Scott,Comedy Romance,because i said so,Colin Ferguson Stephen Collins Tom Everett Scott Michael Lehmann Comedy Romance
Rob Cohen,Paul Walker,Vin Diesel,Jordana Brewster,Action Crime Thriller,the fast and the furious,Paul Walker Vin Diesel Jordana Brewster Rob Cohen Action Crime Thriller
Tim Burton,Martin Landau,Catherine O'Hara,Atticus Shaffer,Animation Comedy Family Horror Sci-Fi,frankenweenie,Martin Landau Catherine O'Hara Atticus Shaffer Tim Burton Animation Comedy Family Horror Sci-Fi
Joss Whedon,Adam Baldwin,Sean Maher,Michael Hitchcock,Action Adventure Sci-Fi Thriller,serenity,Adam Baldwin Sean Maher Michael Hitchcock Joss Whedon Action Adventure Sci-Fi Thriller
Charles S. Dutton,Omar Epps,Charles S. Dutton,Tim Daly,Biography Drama Romance Sport,against the ropes,Omar Epps Charles S. Dutton Tim Daly Charles S. Dutton Biography Drama Romance Sport
Richard Lester,Margot Kidder,Robert Vaughn,Jackie Cooper,Action Comedy Sci-Fi,superman iii,Margot Kidder Robert Vaughn Jackie Cooper Richard Lester Action Comedy Sci-Fi
Peter Segal,Robert De Niro,Sylvester Stallone,Oscar Gale,Comedy Sport,grudge match,Robert De Niro Sylvester Stallone Oscar Gale Peter Segal Comedy Sport
John Woo,Takeshi Kaneshiro,Tony Chiu Wai Leung,Wei Zhao,Action Adventure Drama History War,red cliff,Takeshi Kaneshiro Tony Chiu Wai Leung Wei Zhao John Woo Action Adventure Drama History War
Andy Tennant,Ethan Embry,Mary Lynn Rajskub,Courtney Gains,Comedy Romance,sweet home alabama,Ethan Embry Mary Lynn Rajskub Courtney Gains Andy Tennant Comedy Romance
Robert Luketic,Gerard Butler,John Michael Higgins,Eric Winter,Comedy Romance,the ugly truth,Gerard Butler John Michael Higgins Eric Winter Robert Luketic Comedy Romance
Jonathan Lynn,Austin Pendleton,Phil Hartman,Max Casella,Comedy,sgt. bilko,Austin Pendleton Phil Hartman Max Casella Jonathan Lynn Comedy
Robert Rodriguez,Steve Buscemi,Alexa PenaVega,Emily Osment,Action Adventure Comedy Family Sci-Fi,spy kids 2: island of lost dreams,Steve Buscemi Alexa PenaVega Emily Osment Robert Rodriguez Action Adventure Comedy Family Sci-Fi
David Carson,LeVar Burton,Alan Ruck,Jonathan Frakes,Action Adventure Mystery Sci-Fi Thriller,star trek: generations,LeVar Burton Alan Ruck Jonathan Frakes David Carson Action Adventure Mystery Sci-Fi Thriller
Kar-Wai Wong,Tony Chiu Wai Leung,Hye-kyo Song,Elvis Tsui,Action Biography Drama,the grandmaster,Tony Chiu Wai Leung Hye-kyo Song Elvis Tsui Kar-Wai Wong Action Biography Drama
Francis Lawrence,Robert Pattinson,Christoph Waltz,James Frain,Drama Romance,water for elephants,Robert Pattinson Christoph Waltz James Frain Francis Lawrence Drama Romance
unknown,Joseph Gordon-Levitt,Wayne Knight,Kristen Johnston,Comedy Family Sci-Fi,3rd rock from the sun            ,Joseph Gordon-Levitt Wayne Knight Kristen Johnston unknown Comedy Family Sci-Fi
Yuefeng Song,Blythe Auffarth,Bianca Collins,Jiao Xu,Adventure Animation Family Fantasy,dragon nest: warriors' dawn,Blythe Auffarth Bianca Collins Jiao Xu Yuefeng Song Adventure Animation Family Fantasy
Norman Jewison,Denzel Washington,Vincent Pastore,Deborah Kara Unger,Biography Drama Sport,the hurricane,Denzel Washington Vincent Pastore Deborah Kara Unger Norman Jewison Biography Drama Sport
Michael Apted,Bill Cobbs,Jeff Kober,Billy Campbell,Crime Drama Thriller,enough,Bill Cobbs Jeff Kober Billy Campbell Michael Apted Crime Drama Thriller
David Mirkin,Sarah Silverman,Anne Bancroft,Jeffrey Jones,Comedy Crime Romance,heartbreakers,Sarah Silverman Anne Bancroft Jeffrey Jones David Mirkin Comedy Crime Romance
Andy Fickman,D.B. Woodside,Daniella Alonso,Eduardo Verástegui,Action Comedy Crime,paul blart: mall cop 2,D.B. Woodside Daniella Alonso Eduardo Verástegui Andy Fickman Action Comedy Crime
Luis Mandoki,Sonia Braga,Shirley Knight,Kari Matchett,Drama Romance,angel eyes,Sonia Braga Shirley Knight Kari Matchett Luis Mandoki Drama Romance
John Pasquin,Jim Belushi,Ken Marino,Kelly Lynch,Comedy Drama,joe somebody,Jim Belushi Ken Marino Kelly Lynch John Pasquin Comedy Drama
Roman Polanski,Johnny Depp,Frank Langella,Lena Olin,Mystery Thriller,the ninth gate,Johnny Depp Frank Langella Lena Olin Roman Polanski Mystery Thriller
Michael Apted,J.K. Simmons,Paul Guilfoyle,Bill Nunn,Crime Drama Mystery Thriller,extreme measures,J.K. Simmons Paul Guilfoyle Bill Nunn Michael Apted Crime Drama Mystery Thriller
Stephen Herek,Beth Grant,Dagmara Dominczyk,Matthew Glave,Drama Music,rock star,Beth Grant Dagmara Dominczyk Matthew Glave Stephen Herek Drama Music
Ridley Scott,Jeff Bridges,Jason Marsden,Ethan Embry,Adventure Drama,white squall,Jeff Bridges Jason Marsden Ethan Embry Ridley Scott Adventure Drama
John Carpenter,Wilford Brimley,Richard Masur,David Clennon,Horror Mystery Sci-Fi,the thing,Wilford Brimley Richard Masur David Clennon John Carpenter Horror Mystery Sci-Fi
David Twohy,Vin Diesel,Nolan Gerard Funk,Bokeem Woodbine,Action Sci-Fi Thriller,riddick,Vin Diesel Nolan Gerard Funk Bokeem Woodbine David Twohy Action Sci-Fi Thriller
Jeb Stuart,Gregory Scott Cummins,Claudia Stedelin,Ted Markland,Crime Mystery Thriller,switchback,Gregory Scott Cummins Claudia Stedelin Ted Markland Jeb Stuart Crime Mystery Thriller
Steve Miner,Tom Skerritt,Usher Raymond,Leonor Varela,Action Adventure Drama Thriller Western,texas rangers,Tom Skerritt Usher Raymond Leonor Varela Steve Miner Action Adventure Drama Thriller Western
Gil Kenan,Bill Murray,Toby Jones,Harry Treadaway,Adventure Family Fantasy Sci-Fi,city of ember,Bill Murray Toby Jones Harry Treadaway Gil Kenan Adventure Family Fantasy Sci-Fi
Paul Thomas Anderson,Mike Howard,Jeffrey W. Jenkins,Bruce Goodchild,Drama,the master,Mike Howard Jeffrey W. Jenkins Bruce Goodchild Paul Thomas Anderson Drama
David Leland,Hayden Christensen,Ryan Cartwright,David Walliams,Adventure Comedy History Romance,virgin territory,Hayden Christensen Ryan Cartwright David Walliams David Leland Adventure Comedy History Romance
Gary Fleder,Dennis Quaid,Nicole Beharie,Charles S. Dutton,Biography Drama Sport,the express,Dennis Quaid Nicole Beharie Charles S. Dutton Gary Fleder Biography Drama Sport
J Blakeson,Chloë Grace Moretz,Maggie Siff,Nick Robinson,Action Adventure Sci-Fi Thriller,the 5th wave,Chloë Grace Moretz Maggie Siff Nick Robinson J Blakeson Action Adventure Sci-Fi Thriller
Ryan Coogler,Sylvester Stallone,Phylicia Rashad,Graham McTavish,Drama Sport,creed,Sylvester Stallone Phylicia Rashad Graham McTavish Ryan Coogler Drama Sport
Ben Affleck,Jeremy Renner,Jon Hamm,Owen Burke,Crime Drama Thriller,the town,Jeremy Renner Jon Hamm Owen Burke Ben Affleck Crime Drama Thriller
Kirk Jones,Anna Kendrick,Dennis Quaid,Thomas Lennon,Comedy Drama Romance,what to expect when you're expecting,Anna Kendrick Dennis Quaid Thomas Lennon Kirk Jones Comedy Drama Romance
Ethan Coen,J.K. Simmons,Brad Pitt,Kevin Sussman,Comedy Drama,burn after reading,J.K. Simmons Brad Pitt Kevin Sussman Ethan Coen Comedy Drama
Jennifer Flackett,Gerard Butler,Anthony Simcoe,Christopher James Baker,Adventure Comedy Family Fantasy,nim's island,Gerard Butler Anthony Simcoe Christopher James Baker Jennifer Flackett Adventure Comedy Family Fantasy
Ron Howard,Chris Hemsworth,Olivia Wilde,Alexandra Maria Lara,Action Biography Drama Sport,rush,Chris Hemsworth Olivia Wilde Alexandra Maria Lara Ron Howard Action Biography Drama Sport
Paul Thomas Anderson,Patton Oswalt,Neil Flynn,Jim Meskimen,Drama,magnolia,Patton Oswalt Neil Flynn Jim Meskimen Paul Thomas Anderson Drama
Kevin Smith,Bruce Willis,Tracy Morgan,Kevin Pollak,Action Comedy Crime,cop out,Bruce Willis Tracy Morgan Kevin Pollak Kevin Smith Action Comedy Crime
Christian Ditter,Alison Brie,Damon Wayans Jr.,Nicholas Braun,Comedy Romance,how to be single,Alison Brie Damon Wayans Jr. Nicholas Braun Christian Ditter Comedy Romance
Charles Martin Smith,Morgan Freeman,Michael Roark,Harry Connick Jr.,Drama Family,dolphin tale,Morgan Freeman Michael Roark Harry Connick Jr. Charles Martin Smith Drama Family
Nick Cassavetes,Denzel Washington,Laura Harring,Anne Heche,Crime Drama Thriller,john q,Denzel Washington Laura Harring Anne Heche Nick Cassavetes Crime Drama Thriller
Les Mayfield,Peter Greene,Dave Chappelle,Tamala Jones,Action Comedy Crime Thriller,blue streak,Peter Greene Dave Chappelle Tamala Jones Les Mayfield Action Comedy Crime Thriller
Rawson Marshall Thurber,Laura-Leigh,Molly C. Quinn,Thomas Lennon,Comedy Crime,we're the millers,Laura-Leigh Molly C. Quinn Thomas Lennon Rawson Marshall Thurber Comedy Crime
Fedor Bondarchuk,Yuliya Snigir,Fedor Bondarchuk,Aleksey Serebryakov,Action Adventure Sci-Fi,obitaemyy ostrov,Yuliya Snigir Fedor Bondarchuk Aleksey Serebryakov Fedor Bondarchuk Action Adventure Sci-Fi
Jonathan Mostow,Kathleen Quinlan,M.C. Gainey,J.T. Walsh,Action Crime Drama Mystery Thriller,breakdown,Kathleen Quinlan M.C. Gainey J.T. Walsh Jonathan Mostow Action Crime Drama Mystery Thriller
Irvin Kershner,Bernie Casey,Klaus Maria Brandauer,Barbara Carrera,Action Adventure Thriller,never say never again,Bernie Casey Klaus Maria Brandauer Barbara Carrera Irvin Kershner Action Adventure Thriller
Steve Pink,Charlie McDermott,Collette Wolfe,Crystal Lowe,Comedy Sci-Fi,hot tub time machine,Charlie McDermott Collette Wolfe Crystal Lowe Steve Pink Comedy Sci-Fi
Charles Martin Smith,Morgan Freeman,Taylor Blackwell,Harry Connick Jr.,Drama Family,dolphin tale 2,Morgan Freeman Taylor Blackwell Harry Connick Jr. Charles Martin Smith Drama Family
John Frankenheimer,Charlize Theron,James Frain,Clarence Williams III,Action Adventure Crime Drama Family Fantasy Romance Thriller,reindeer games,Charlize Theron James Frain Clarence Williams III John Frankenheimer Action Adventure Crime Drama Family Fantasy Romance Thriller
F. Gary Gray,Vin Diesel,Jeff Kober,Larenz Tate,Action Crime Drama Thriller,a man apart,Vin Diesel Jeff Kober Larenz Tate F. Gary Gray Action Crime Drama Thriller
Rob Reiner,Alexa PenaVega,Virginia Madsen,Craig T. Nelson,Drama History,ghosts of mississippi,Alexa PenaVega Virginia Madsen Craig T. Nelson Rob Reiner Drama History
Scott Hicks,Rick Yune,Reeve Carney,Daniel von Bargen,Drama Mystery Romance Thriller,snow falling on cedars,Rick Yune Reeve Carney Daniel von Bargen Scott Hicks Drama Mystery Romance Thriller
Mikael Håfström,Anthony Hopkins,Colin O'Donoghue,Toby Jones,Drama Horror Mystery Thriller,the rite,Anthony Hopkins Colin O'Donoghue Toby Jones Mikael Håfström Drama Horror Mystery Thriller
Andrew Niccol,Blair Underwood,Xander Berkeley,Mason Gamble,Drama Sci-Fi Thriller,gattaca,Blair Underwood Xander Berkeley Mason Gamble Andrew Niccol Drama Sci-Fi Thriller
Andrew Bergman,Stockard Channing,Nathan Lane,John Larroquette,Biography Comedy Romance,isn't she great,Stockard Channing Nathan Lane John Larroquette Andrew Bergman Biography Comedy Romance
Kirk De Micco,Cheryl Hines,Kenan Thompson,Omid Abtahi,Adventure Animation Comedy Family Sci-Fi,space chimps,Cheryl Hines Kenan Thompson Omid Abtahi Kirk De Micco Adventure Animation Comedy Family Sci-Fi
Chris Rock,Bernie Mac,Dylan Baker,Tracy Morgan,Comedy,head of state,Bernie Mac Dylan Baker Tracy Morgan Chris Rock Comedy
Todd Phillips,Bradley Cooper,Rob Riggle,Mike Epps,Comedy,the hangover,Bradley Cooper Rob Riggle Mike Epps Todd Phillips Comedy
Wilson Yip,Mike Tyson,Lynn Hung,Kwok-Kwan Chan,Action Biography Drama History,ip man 3,Mike Tyson Lynn Hung Kwok-Kwan Chan Wilson Yip Action Biography Drama History
Jay Roach,Muse Watson,Verne Troyer,Robert Wagner,Action Adventure Comedy Crime,austin powers: the spy who shagged me,Muse Watson Verne Troyer Robert Wagner Jay Roach Action Adventure Comedy Crime
Tim Burton,Michael Gough,Jack Palance,William Hootkins,Action Adventure,batman,Michael Gough Jack Palance William Hootkins Tim Burton Action Adventure
Roland Joffé,Jordi Mollà,Dougray Scott,Lily Cole,Biography Drama War,there be dragons,Jordi Mollà Dougray Scott Lily Cole Roland Joffé Biography Drama War
Richard Donner,Rene Russo,Nick Chinlund,Stuart Wilson,Action Crime Thriller,lethal weapon 3,Rene Russo Nick Chinlund Stuart Wilson Richard Donner Action Crime Thriller
John Lee Hancock,Catherine Dyer,Quinton Aaron,Kim Dickens,Biography Drama Sport,the blind side,Catherine Dyer Quinton Aaron Kim Dickens John Lee Hancock Biography Drama Sport
unknown,Jon Foo,Aimee Garcia,Wendie Malick,Action Comedy Crime,rush hour            ,Jon Foo Aimee Garcia Wendie Malick unknown Action Comedy Crime
Robert Rodriguez,Alexa PenaVega,Cheech Marin,Daryl Sabara,Action Adventure Comedy Family Sci-Fi,spy kids,Alexa PenaVega Cheech Marin Daryl Sabara Robert Rodriguez Action Adventure Comedy Family Sci-Fi
Seth Gordon,Kevin Spacey,Lindsay Sloane,Reginald Ballard,Comedy Crime,horrible bosses,Kevin Spacey Lindsay Sloane Reginald Ballard Seth Gordon Comedy Crime
Ethan Coen,Matt Damon,Jeff Bridges,Bruce Green,Adventure Drama Western,true grit,Matt Damon Jeff Bridges Bruce Green Ethan Coen Adventure Drama Western
David Frankel,Meryl Streep,Anne Hathaway,Rebecca Mader,Comedy Drama Romance,the devil wears prada,Meryl Streep Anne Hathaway Rebecca Mader David Frankel Comedy Drama Romance
Robert Wise,Leonard Nimoy,Nichelle Nichols,Walter Koenig,Adventure Mystery Sci-Fi,star trek: the motion picture,Leonard Nimoy Nichelle Nichols Walter Koenig Robert Wise Adventure Mystery Sci-Fi
Seth Gordon,Jon Favreau,Eric Stonestreet,T.I.,Comedy Crime,identity thief,Jon Favreau Eric Stonestreet T.I. Seth Gordon Comedy Crime
Martin Scorsese,Robert De Niro,Robert Mitchum,Joe Don Baker,Crime Thriller,cape fear,Robert De Niro Robert Mitchum Joe Don Baker Martin Scorsese Crime Thriller
Robert Luketic,Kevin Spacey,Jim Sturgess,Josh Gad,Crime Drama Thriller,21,Kevin Spacey Jim Sturgess Josh Gad Robert Luketic Crime Drama Thriller
Judd Apatow,Amy Schumer,Randall Park,Josh Segarra,Comedy Romance,trainwreck,Amy Schumer Randall Park Josh Segarra Judd Apatow Comedy Romance
Kevin Rodney Sullivan,Bernie Mac,Nicole Sullivan,Sherri Shepherd,Comedy Romance,guess who,Bernie Mac Nicole Sullivan Sherri Shepherd Kevin Rodney Sullivan Comedy Romance
Anthony Minghella,Colin Firth,Kristin Scott Thomas,Jürgen Prochnow,Drama Romance War,the english patient,Colin Firth Kristin Scott Thomas Jürgen Prochnow Anthony Minghella Drama Romance War
Curtis Hanson,Kevin Spacey,Matt McCoy,Paul Guilfoyle,Crime Drama Mystery Thriller,l.a. confidential,Kevin Spacey Matt McCoy Paul Guilfoyle Curtis Hanson Crime Drama Mystery Thriller
Mike Mitchell,Michael Angarano,Kelly Preston,Nicholas Braun,Adventure Comedy Family Sci-Fi,sky high,Michael Angarano Kelly Preston Nicholas Braun Mike Mitchell Adventure Comedy Family Sci-Fi
Frank Oz,Tom Selleck,Wilford Brimley,Lauren Ambrose,Comedy,in & out,Tom Selleck Wilford Brimley Lauren Ambrose Frank Oz Comedy
Roger Donaldson,Natasha Henstridge,Marg Helgenberger,Jordan Lund,Action Horror Sci-Fi Thriller,species,Natasha Henstridge Marg Helgenberger Jordan Lund Roger Donaldson Action Horror Sci-Fi Thriller
Tarsem Singh,Dylan Baker,Jake Weber,James Gammon,Horror Sci-Fi Thriller,the cell,Dylan Baker Jake Weber James Gammon Tarsem Singh Horror Sci-Fi Thriller
Randall Wallace,Leonardo DiCaprio,Anne Parillaud,Judith Godrèche,Action Adventure,the man in the iron mask,Leonardo DiCaprio Anne Parillaud Judith Godrèche Randall Wallace Action Adventure
Randall Wallace,Scott Glenn,Kevin Connolly,Dylan Walsh,Biography Drama Family History Sport,secretariat,Scott Glenn Kevin Connolly Dylan Walsh Randall Wallace Biography Drama Family History Sport
Kevin Munroe,Chris Evans,Sarah Michelle Gellar,Mako,Action Adventure Animation Comedy Family Fantasy Sci-Fi,tmnt,Chris Evans Sarah Michelle Gellar Mako Kevin Munroe Action Adventure Animation Comedy Family Fantasy Sci-Fi
Michael Tollin,Alfre Woodard,Riley Smith,Debra Winger,Biography Drama Sport,radio,Alfre Woodard Riley Smith Debra Winger Michael Tollin Biography Drama Sport
Will Gluck,Mila Kunis,Justin Timberlake,Masi Oka,Comedy Romance,friends with benefits,Mila Kunis Justin Timberlake Masi Oka Will Gluck Comedy Romance
Nicholas Stoller,Chloë Grace Moretz,Ike Barinholtz,Kiersey Clemons,Comedy,neighbors 2: sorority rising,Chloë Grace Moretz Ike Barinholtz Kiersey Clemons Nicholas Stoller Comedy
John Lee Hancock,Tom Hanks,Ruth Wilson,B.J. Novak,Biography Comedy Drama History Music,saving mr. banks,Tom Hanks Ruth Wilson B.J. Novak John Lee Hancock Biography Comedy Drama History Music
Spike Lee,Denzel Washington,Delroy Lindo,Al Freeman Jr.,Biography Drama History Romance,malcolm x,Denzel Washington Delroy Lindo Al Freeman Jr. Spike Lee Biography Drama History Romance
Judd Apatow,Charlyne Yi,Maude Apatow,Mackenzie Aladjem,Comedy,this is 40,Charlyne Yi Maude Apatow Mackenzie Aladjem Judd Apatow Comedy
Walt Becker,Robin Williams,Bernie Mac,Ann-Margret,Comedy Family,old dogs,Robin Williams Bernie Mac Ann-Margret Walt Becker Comedy Family
Patrick Tatopoulos,Craig Parker,Kevin Grevioux,Steven Mackintosh,Action Adventure Fantasy Sci-Fi Thriller,underworld: rise of the lycans,Craig Parker Kevin Grevioux Steven Mackintosh Patrick Tatopoulos Action Adventure Fantasy Sci-Fi Thriller
Ken Kwapis,Robin Williams,Christine Taylor,Mindy Kaling,Comedy Romance,license to wed,Robin Williams Christine Taylor Mindy Kaling Ken Kwapis Comedy Romance
Dennis Dugan,Jon Lovitz,Jon Heder,Tim Meadows,Comedy Romance Sport,the benchwarmers,Jon Lovitz Jon Heder Tim Meadows Dennis Dugan Comedy Romance Sport
Gary David Goldberg,Stockard Channing,Victor Webster,Elizabeth Perkins,Comedy Romance,must love dogs,Stockard Channing Victor Webster Elizabeth Perkins Gary David Goldberg Comedy Romance
Mike Newell,Johnny Depp,Al Pacino,Anne Heche,Biography Crime Drama,donnie brasco,Johnny Depp Al Pacino Anne Heche Mike Newell Biography Crime Drama
Paul W.S. Anderson,Milla Jovovich,Jaymes Butler,Colin Salmon,Action Horror Sci-Fi,resident evil,Milla Jovovich Jaymes Butler Colin Salmon Paul W.S. Anderson Action Horror Sci-Fi
Ethan Coen,J.K. Simmons,Tom Hanks,Stephen Root,Comedy Crime Thriller,the ladykillers,J.K. Simmons Tom Hanks Stephen Root Ethan Coen Comedy Crime Thriller
John Moore,Mila Kunis,Beau Bridges,Jamie Hector,Action Crime Drama Mystery Thriller,max payne,Mila Kunis Beau Bridges Jamie Hector John Moore Action Crime Drama Mystery Thriller
Andrew Niccol,Matt Bomer,Olivia Wilde,Justin Timberlake,Action Sci-Fi Thriller,in time,Matt Bomer Olivia Wilde Justin Timberlake Andrew Niccol Action Sci-Fi Thriller
Alan Poul,Danneel Ackles,Noureen DeWulf,Tom Bosley,Comedy Romance,the back-up plan,Danneel Ackles Noureen DeWulf Tom Bosley Alan Poul Comedy Romance
Luke Greenfield,Ashley Williams,Steve Howey,Kirsten Day,Comedy Drama Romance,something borrowed,Ashley Williams Steve Howey Kirsten Day Luke Greenfield Comedy Drama Romance
unknown,Jodi Lyn O'Keefe,Kimberly Elise,Logan Browning,Drama Romance,hit the floor            ,Jodi Lyn O'Keefe Kimberly Elise Logan Browning unknown Drama Romance
Gil Junger,Tom Wilkinson,Marsha Thomason,Vincent Regan,Adventure Comedy Fantasy,black knight,Tom Wilkinson Marsha Thomason Vincent Regan Gil Junger Adventure Comedy Fantasy
Michael Ritchie,Tatum O'Neal,Vic Morrow,Joyce Van Patten,Comedy Drama Family Sport,the bad news bears,Tatum O'Neal Vic Morrow Joyce Van Patten Michael Ritchie Comedy Drama Family Sport
Steven E. de Souza,Ming-Na Wen,Raul Julia,Kylie Minogue,Action Adventure Comedy Thriller,street fighter,Ming-Na Wen Raul Julia Kylie Minogue Steven E. de Souza Action Adventure Comedy Thriller
Roman Polanski,Emilia Fox,Frank Finlay,Ed Stoppard,Biography Drama War,the pianist,Emilia Fox Frank Finlay Ed Stoppard Roman Polanski Biography Drama War
Albert Hughes,Johnny Depp,Jason Flemyng,Ian Richardson,Horror Mystery Thriller,from hell,Johnny Depp Jason Flemyng Ian Richardson Albert Hughes Horror Mystery Thriller
Catherine Hardwicke,Keisha Castle-Hughes,Hiam Abbass,Shaun Toub,Drama Family Fantasy,the nativity story,Keisha Castle-Hughes Hiam Abbass Shaun Toub Catherine Hardwicke Drama Family Fantasy
Mike Nichols,Natalie Portman,Julia Roberts,Colin Stinton,Drama Romance,closer,Natalie Portman Julia Roberts Colin Stinton Mike Nichols Drama Romance
Clint Eastwood,Leonardo DiCaprio,Naomi Watts,Kaitlyn Dever,Biography Crime Drama,j. edgar,Leonardo DiCaprio Naomi Watts Kaitlyn Dever Clint Eastwood Biography Crime Drama
Alexandre Aja,Jason Flemyng,Cameron Boyce,Julian Glover,Horror Mystery,mirrors,Jason Flemyng Cameron Boyce Julian Glover Alexandre Aja Horror Mystery
Michael Rymer,Aaliyah,Lena Olin,Bruce Spence,Drama Fantasy Horror,queen of the damned,Aaliyah Lena Olin Bruce Spence Michael Rymer Drama Fantasy Horror
Stephen Hopkins,Adam Baldwin,Robert Davi,Kevin Peter Hall,Action Horror Sci-Fi,predator 2,Adam Baldwin Robert Davi Kevin Peter Hall Stephen Hopkins Action Horror Sci-Fi
Gregory Hoblit,Billy Burke,Jesse Tyler Ferguson,Joseph Cross,Crime Drama Thriller,untraceable,Billy Burke Jesse Tyler Ferguson Joseph Cross Gregory Hoblit Crime Drama Thriller
Hugh Wilson,Brendan Fraser,Sissy Spacek,Douglas Smith,Comedy Drama Romance Sci-Fi,blast from the past,Brendan Fraser Sissy Spacek Douglas Smith Hugh Wilson Comedy Drama Romance Sci-Fi
Mike Hodges,Brian Blessed,William Hootkins,Sam J. Jones,Action Adventure Sci-Fi,flash gordon,Brian Blessed William Hootkins Sam J. Jones Mike Hodges Action Adventure Sci-Fi
Kevin Smith,Stephen Root,Mike Starr,George Carlin,Comedy Drama Romance,jersey girl,Stephen Root Mike Starr George Carlin Kevin Smith Comedy Drama Romance
Rob Cohen,Cicely Tyson,Chad Lindberg,Carmen Ejogo,Action Crime Mystery Thriller,alex cross,Cicely Tyson Chad Lindberg Carmen Ejogo Rob Cohen Action Crime Mystery Thriller
